amortized_time_per_query,avg_query_time,database,dataset_size,elapsed_seconds,initialization_time,mode,num_queries,query,session_total_time,test_timestamp,total_time
0.10322775840759277,0.005562591552734375,duckdb,100k,1.0999765396118164,0.976651668548584,persistent_session,10,1_hop_gpu,0.05562591552734375,2025-11-17T12:53:22.453398,1.0322775840759277
0.09455561637878418,0.010830283164978027,duckdb,100k,0.9858925342559814,0.8372533321380615,persistent_session,10,2_hop_gpu,0.10830283164978027,2025-11-17T12:53:23.439299,0.9455561637878418
0.09173457622528076,0.013275575637817384,duckdb,100k,0.9584512710571289,0.7845900058746338,persistent_session,10,3_hop_gpu,0.13275575637817383,2025-11-17T12:53:24.397758,0.9173457622528076
0.09877629280090332,0.020264959335327147,duckdb,100k,1.0393218994140625,0.7851133346557617,persistent_session,10,k_hop_gpu,0.20264959335327148,2025-11-17T12:53:25.437087,0.9877629280090332
0.08958988189697266,0.01113271713256836,duckdb,100k,0.9351546764373779,0.784571647644043,persistent_session,10,shortest_path_gpu,0.1113271713256836,2025-11-17T12:53:26.372250,0.8958988189697266
0.31630535125732423,0.010573363304138184,duckdb,1m,3.3096272945404053,3.0573198795318604,persistent_session,10,1_hop_gpu,0.10573363304138184,2025-11-17T12:53:29.681905,3.163053512573242
0.242157506942749,0.02414720058441162,duckdb,1m,2.6218833923339844,2.180103063583374,persistent_session,10,2_hop_gpu,0.2414720058441162,2025-11-17T12:53:32.303795,2.4215750694274902
0.23660125732421874,0.029135990142822265,duckdb,1m,2.5658745765686035,2.074652671813965,persistent_session,10,3_hop_gpu,0.29135990142822266,2025-11-17T12:53:34.869676,2.3660125732421875
0.25367209911346433,0.056847453117370605,duckdb,1m,2.769807815551758,1.9682464599609375,persistent_session,10,k_hop_gpu,0.568474531173706,2025-11-17T12:53:37.639491,2.5367209911346436
0.24253308773040771,0.03251259326934815,duckdb,1m,2.630894899368286,2.1002049446105957,persistent_session,10,shortest_path_gpu,0.32512593269348145,2025-11-17T12:53:40.270395,2.425330877304077
0.8716013669967652,0.02752053737640381,duckdb,5m,9.172757387161255,8.440808296203613,persistent_session,10,1_hop_gpu,0.2752053737640381,2025-11-17T12:53:49.443183,8.716013669967651
0.6220316171646119,0.09230568408966064,duckdb,5m,6.874452829360962,5.297259330749512,persistent_session,10,2_hop_gpu,0.9230568408966064,2025-11-17T12:53:56.317651,6.220316171646118
0.6879897117614746,0.14932966232299805,duckdb,5m,7.603573560714722,5.386600494384766,persistent_session,10,3_hop_gpu,1.4932966232299805,2025-11-17T12:54:03.921234,6.879897117614746
0.8696920156478882,0.3320078611373901,duckdb,5m,9.597759485244751,5.3768415451049805,persistent_session,10,k_hop_gpu,3.3200786113739014,2025-11-17T12:54:13.519005,8.696920156478882
0.7891815900802612,0.2538492202758789,duckdb,5m,8.727513074874878,5.353323698043823,persistent_session,10,shortest_path_gpu,2.538492202758789,2025-11-17T12:54:22.246534,7.891815900802612
0.12248721122741699,0.07827303409576417,duckdb,20m,1.3847825527191162,0.4421417713165283,persistent_session,10,1_hop_gpu,0.7827303409576416,2025-11-17T12:54:23.631354,1.22487211227417
0.5233811616897583,0.4879832983016968,duckdb,20m,5.8296589851379395,0.35397863388061523,persistent_session,10,2_hop_gpu,4.879832983016968,2025-11-17T12:54:29.461029,5.233811616897583
0.5383644104003906,0.5021233320236206,duckdb,20m,5.975512504577637,0.3624107837677002,persistent_session,10,3_hop_gpu,5.021233320236206,2025-11-17T12:54:35.436555,5.383644104003906
2.191029405593872,2.156583476066589,duckdb,20m,24.21313762664795,0.34445929527282715,persistent_session,10,k_hop_gpu,21.565834760665894,2025-11-17T12:54:59.649707,21.91029405593872
2.2064315557479857,2.1693190574645995,duckdb,20m,24.35441756248474,0.3711249828338623,persistent_session,10,shortest_path_gpu,21.693190574645996,2025-11-17T12:55:24.004140,22.06431555747986
